Feature,Importance
Avg_Past_Consumption,0.05892986016617268
rolling_mean_24,0.028673569675407264
rolling_mean_3,0.022776324817972572
rolling_std_24,0.005582577191458988
lag_24,0.005306090848626082
lag_2,0.004299177598741815
lag_1,0.004121482411307718
lag_3,0.004071297576544823
Humidity,0.002984373152716836
rolling_std_3,0.002502410516054317
Wind_Speed,0.0024824590735002035
temp_hour_interaction,0.0024140683378287876
Temperature,0.002373809943540368
hour_cos,0.0012538382685170389
hour,0.001181803668842042
month,0.001037597637029322
day,0.0009158764074522039
hour_sin,0.00085909472081455
day_of_week,3.59020361333693e-05
